Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
175,CNN_A_model,120 hours,0.87,1.7,2.43,1.77,0.73,0.18,5.9
1148,CNN_A_model,3 hours,0.0,3.11,3.11,2.0,,-inf,9.68
1148,CNN_A_model,6 hours,0.76,2.33,2.46,1.54,1.0,0.51,6.04
1148,CNN_A_model,12 hours,0.79,3.7,3.98,1.71,1.0,0.43,15.85
1148,CNN_A_model,24 hours,0.77,4.19,4.41,1.66,0.81,0.34,19.46
1148,CNN_A_model,36 hours,0.79,4.07,4.33,1.69,0.87,0.44,18.79
1148,CNN_A_model,72 hours,0.82,3.41,3.85,1.7,0.83,0.46,14.79
1148,CNN_A_model,120 hours,0.86,2.59,3.18,1.73,0.69,0.43,10.13
355,CNN_A_model,3 hours,0.0,0.3,0.3,2.0,,-inf,0.09
355,CNN_A_model,6 hours,0.32,0.98,1.19,1.38,1.0,-62.44,1.43
355,CNN_A_model,12 hours,0.8,2.34,2.75,1.66,0.9,0.47,7.57
355,CNN_A_model,24 hours,0.79,3.16,3.56,1.68,0.49,0.12,12.67
355,CNN_A_model,36 hours,0.82,2.63,3.07,1.7,0.61,0.2,9.43
355,CNN_A_model,72 hours,0.84,2.3,2.74,1.74,0.66,0.08,7.5
355,CNN_A_model,120 hours,0.84,2.14,2.49,1.72,0.71,0.12,6.18
939,CNN_A_model,3 hours,0.0,4.19,4.19,2.0,,-inf,17.58
939,CNN_A_model,6 hours,0.09,4.02,4.02,0.84,1.0,-403.62,16.18
939,CNN_A_model,12 hours,0.79,2.25,2.88,1.84,0.88,-0.08,8.32
939,CNN_A_model,24 hours,0.8,2.58,3.04,1.82,0.88,0.1,9.25
939,CNN_A_model,36 hours,0.82,2.25,2.69,1.82,0.9,0.24,7.22
939,CNN_A_model,72 hours,0.77,3.24,3.65,1.82,0.86,-0.26,13.35
939,CNN_A_model,120 hours,0.75,3.96,4.31,1.82,0.87,-0.53,18.61
11,CNN_A_model,3 hours,0.0,1.12,1.12,2.0,,-inf,1.26
11,CNN_A_model,6 hours,0.51,1.75,1.87,0.34,1.0,-3.82,3.48
11,CNN_A_model,12 hours,0.75,2.55,2.76,1.75,0.93,-0.01,7.64
11,CNN_A_model,24 hours,0.8,2.29,2.79,1.69,0.83,-0.03,7.8
11,CNN_A_model,36 hours,0.77,2.62,3.08,1.7,0.83,-0.22,9.51
11,CNN_A_model,72 hours,0.83,2.6,2.97,1.66,0.64,0.36,8.84
11,CNN_A_model,120 hours,0.85,2.32,2.78,1.65,0.63,0.37,7.7
267,CNN_A_model,3 hours,0.0,0.19,0.19,2.0,,-inf,0.04
267,CNN_A_model,6 hours,0.48,0.57,0.69,1.34,1.0,-10.86,0.47
267,CNN_A_model,12 hours,0.86,1.06,1.56,1.51,0.73,0.43,2.45
267,CNN_A_model,24 hours,0.84,1.14,1.51,1.61,0.72,0.27,2.28
267,CNN_A_model,36 hours,0.84,1.66,1.99,1.71,0.8,0.18,3.98
267,CNN_A_model,72 hours,0.83,1.83,2.1,1.71,0.87,0.23,4.42
267,CNN_A_model,120 hours,0.82,1.97,2.4,1.76,0.46,-0.15,5.77
1396,CNN_A_model,3 hours,0.0,0.61,0.61,2.0,,-inf,0.37
1396,CNN_A_model,6 hours,0.5,1.86,2.24,1.71,1.0,-9.28,5.04
1396,CNN_A_model,12 hours,0.8,1.45,1.75,1.69,0.74,0.3,3.07
1396,CNN_A_model,24 hours,0.86,1.0,1.35,1.67,0.78,0.36,1.82
1396,CNN_A_model,36 hours,0.87,1.37,1.9,1.68,0.66,0.43,3.6
1396,CNN_A_model,72 hours,0.85,1.47,1.9,1.68,0.53,0.11,3.63
1396,CNN_A_model,120 hours,0.9,1.58,2.02,1.71,0.73,0.52,4.08
1075,CNN_A_model,3 hours,0.0,3.08,3.08,2.0,,-inf,9.5
1075,CNN_A_model,6 hours,0.0,2.87,2.87,0.35,,-inf,8.26
1075,CNN_A_model,12 hours,0.82,2.1,2.25,1.74,0.99,0.64,5.05
1075,CNN_A_model,24 hours,0.85,1.64,1.83,1.74,0.84,0.67,3.34
1075,CNN_A_model,36 hours,0.87,1.77,2.02,1.74,0.83,0.63,4.1
1075,CNN_A_model,72 hours,0.83,2.51,2.8,1.75,0.75,0.2,7.85
1075,CNN_A_model,120 hours,0.84,2.34,2.63,1.75,0.63,0.18,6.94
563,LSTM_A_model,3 hours,0.0,0.0,0.0,2.0,,-inf,0.0
563,LSTM_A_model,6 hours,0.5,1.16,1.64,1.55,1.0,-1074.54,2.69
563,LSTM_A_model,12 hours,0.89,1.2,1.53,1.81,0.94,0.81,2.35
563,LSTM_A_model,24 hours,0.89,1.23,1.48,1.81,0.9,0.81,2.19
563,LSTM_A_model,36 hours,0.9,1.15,1.38,1.81,0.92,0.84,1.9
563,LSTM_A_model,72 hours,0.89,1.37,1.59,1.81,0.91,0.76,2.52
563,LSTM_A_model,120 hours,0.9,1.31,1.61,1.81,0.88,0.74,2.61
651,LSTM_A_model,3 hours,0.0,1.11,1.11,2.0,,-inf,1.23
651,LSTM_A_model,6 hours,0.17,0.98,0.99,1.51,1.0,-97.16,0.98
651,LSTM_A_model,12 hours,0.91,0.67,0.77,1.78,0.96,0.92,0.6
651,LSTM_A_model,24 hours,0.89,0.94,1.12,1.77,0.94,0.82,1.26
651,LSTM_A_model,36 hours,0.88,1.32,1.65,1.77,0.92,0.72,2.72
